count,gene,sample,ind,time,region,APA,strained,group,year,dilution factor,no wells,newcounts
2488,rpl19,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,111960
2343,rpl19,11,h,AM,CA1,trained,fmr1,8,2014,2.5,18,105435
1252,rpl19,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,56340
1214,rpl19,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,54630
1196,rpl19,13,j,AM,CA1,trained,fmr1,8,2014,2.5,18,53820
1611,rpl19,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,72495
1533,rpl19,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,68985
1380,rpl19,61,b ,AM,CA1,trained,fmr1,8,2014,2.5,18,62100
21912,rpl19,62,c,AM,CA1,trained,fmr1,8,2014,2.5,18,986040
19612,rpl19,62,c,AM,CA1,trained,fmr1,8,2014,2.5,18,882540
714,rpl19,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,32130
696,rpl19,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,31320
642,rpl19,63,f,AM,CA1,trained,fmr1,8,2014,2.5,18,28890
2515,rpl19,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,113175
2488,rpl19,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,111960
2343,rpl19,64,h,AM,CA1,trained,fmr1,8,2014,2.5,18,105435
1252,rpl19,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,56340
1214,rpl19,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,54630
1196,rpl19,65,j,AM,CA1,trained,fmr1,8,2014,2.5,18,53820
1157,rpl19,4,ab,AM,CA1,control,B6,2,2014,2.5,18,52065
1122,rpl19,4,ab,AM,CA1,control,B6,2,2014,2.5,18,50490
1107,rpl19,4,ab,AM,CA1,control,B6,2,2014,2.5,18,49815
1157,rpl19,54,ab,AM,CA1,control,B6,2,2014,2.5,18,52065
